Tactic ID,Tactic Name,ID,Technique Name,Sub-Technque/ Indicator #,Sub-Technique Description/Indicator,"Where Can I Detect?  Proxess, Logs, files, Sysmon, MDE",DoDI 8530.01 Cybersecurity Activity,Day Assessed,# of Attempted Exploits,Sensor Detected,Host Name,Host IP,URL,Sensor Block/Contained,Sensor Alert,Analyst  Actioned,Event Contained,All Events Detected?,Blocked by System,Required Alerts Generated,Analyst Actions Complete,Effective (Y/N),Observations,Detection Recommendations MITRE ATT&CK  Command Execution,Web Credential,Application,OS API Execution,Command,Image,Service ,Driver,Module Load,Process Creation,Schedule Job Creation,File,File Modification,Logon Session,User Accounts,Active Directory,Named Pipe,Network Traffic,Network Share,Network Traffic Flow,Script,Cloud Service,Windows Registry,File Access,Firewall Enumeration,Firewall Metadata
TA0043,Reconnaissance,T1595,Active Scanning,T1595.001,Scanning IP Blocks,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,,,,,,,,,,,,,,,,,,,Monitor network data for uncommon data flows. Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious.,,,,,,
,,,,T1595.002,Vulnerability Scanning,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,,,,,,,,,,,,,,,,,"Monitor and analyze traffic patterns and packet inspection associated to protocol(s) that do not follow the expected protocol standards and traffic flows (e.g extraneous packets that do not belong to established flows, gratuitous or anomalous traffic patterns, anomalous syntax, or structure). Consider correlation with process monitoring and command line to detect anomalous processes execution and command line arguments associated to traffic patterns (e.g. monitor anomalies in use of files that do not normally initiate connections for respective protocol(s)).",,Monitor network data for uncommon data flows. Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious.,,,,,,
,,,,T1595.003,Wordlist Scanning,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1592,Gather Victim Host Information,T1592.001,Hardware,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1592.002,Software,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1592.003,Firmware,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1592.004,Client Configurations,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1589,Gather Victim Identity Information,T1589.001,Credentials,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1589.002,Email Addresses,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1589.003,Employee Names,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
